,Planner,ProblemDim,Actions,Time
0,ff,2,0.0,0.0012663841247558
1,ff,3,0.0,0.00149927139282222
2,ff,4,0.0,0.00124368667602534
3,ff,5,0.0,0.00135421752929682
4,ff,6,0.0,0.00142679214477532
5,ff,7,0.0,0.00138611793518062
6,ff,8,0.0,0.0014496803283691
7,ff,9,0.0,0.00137295722961418
8,lpg-td,2,8.0,0.07717232704162594
9,lpg-td,3,12.0,0.07222499847412103
10,lpg-td,4,16.0,0.07374773025512692
11,lpg-td,5,20.0,0.07400898933410642
12,lpg-td,6,24.0,0.07391715049743648
13,lpg-td,7,29.0,0.0727680683135986
14,lpg-td,8,34.0,0.07435235977172847
15,lpg-td,9,37.0,0.07515368461608882
16,sgplan40,2,0.0,0.00183558464050288
17,sgplan40,3,0.0,0.0011146545410156
18,sgplan40,4,0.0,0.00103921890258784
19,sgplan40,5,0.0,0.00106792449951166
20,sgplan40,6,0.0,0.0011415958404540599
21,sgplan40,7,0.0,0.00112967491149898
22,sgplan40,8,0.0,0.00103006362915034
23,sgplan40,9,0.0,0.00114750862121578
