Planner,ProblemDim,Time,Actions
lpg-td,2,0.09221792221069336,8.0
lpg-td,2,0.10877394676208496,8.0
lpg-td,2,0.2800486087799072,8.0
lpg-td,3,0.2906959056854248,12.0
lpg-td,3,0.261059045791626,12.0
lpg-td,3,0.29518675804138184,12.0
lpg-td,4,0.2980940341949463,18.0
lpg-td,4,0.2872428894042969,18.0
lpg-td,4,0.2863643169403076,18.0
lpg-td,5,0.3728923797607422,21.0
lpg-td,5,0.40271687507629395,21.0
lpg-td,5,0.41536736488342285,21.0
lpg-td,6,0.1233363151550293,30.0
lpg-td,6,0.279125452041626,30.0
lpg-td,6,0.26634788513183594,30.0
lpg-td,7,0.28669047355651855,29.0
lpg-td,7,0.26706361770629883,29.0
lpg-td,7,0.27119994163513184,29.0
lpg-td,8,0.30132412910461426,33.0
lpg-td,8,0.28321242332458496,33.0
lpg-td,8,0.2779879570007324,33.0
lpg-td,9,0.2970426082611084,38.0
lpg-td,9,0.2803316116333008,38.0
lpg-td,9,0.2885732650756836,38.0
lpg-td,10,0.30527305603027344,43.0
lpg-td,10,0.270557165145874,43.0
lpg-td,10,0.2929527759552002,43.0
lpg-td,2,0.14307117462158203,8.0
lpg-td,2,0.2674729824066162,8.0
lpg-td,2,0.29090309143066406,8.0
lpg-td,2,0.28742265701293945,8.0
lpg-td,2,0.2755310535430908,8.0
lpg-td,2,0.2977910041809082,8.0
lpg-td,3,0.25090479850769043,12.0
lpg-td,3,0.2772386074066162,12.0
lpg-td,3,0.2995281219482422,12.0
lpg-td,4,0.1454792022705078,16.0
lpg-td,4,0.28712010383605957,16.0
lpg-td,4,0.3058774471282959,16.0
lpg-td,5,0.1845412254333496,21.0
lpg-td,5,0.17465615272521973,21.0
lpg-td,5,0.3051490783691406,21.0
lpg-td,6,0.2691996097564697,30.0
lpg-td,6,0.2875792980194092,30.0
lpg-td,6,0.30968403816223145,30.0
lpg-td,7,0.1556096076965332,29.0
lpg-td,7,0.28530359268188477,29.0
lpg-td,7,0.19100213050842285,29.0
lpg-td,8,0.3185715675354004,33.0
lpg-td,8,0.28833770751953125,33.0
lpg-td,8,0.309617280960083,33.0
lpg-td,9,0.30463385581970215,38.0
lpg-td,9,0.3075387477874756,38.0
lpg-td,9,0.37477827072143555,38.0
lpg-td,10,0.28993892669677734,43.0
lpg-td,10,0.15384459495544434,43.0
lpg-td,10,0.1525578498840332,43.0
